Festival_ID;Festival_Name;Location;Country;Genre;Visitor;Date;Description,,,
G4874;Glastonbury Festival;Somerset;UK;Various;200000;07-02-2023;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
T5682;Tomorrowland;Boom;Belgium;EDM;400000;09-11-2023;Festival EDM terkenal dengan dekorasi spektakuler dan penampilan DJ terkemuka.,,,
S5650;Sziget Festival;Budapest;Hungary;Various;500000;20-12-2021;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
R8571;Rock am Ring;Nürburg;Germany;Rock;90000;16-12-2024;Festival rock terbesar menampilkan band-band rock dan metal ternama.,,,
R8202;Roskilde Festival;Roskilde;Denmark;Alternative;130000;19-09-2023;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
R1567;Reading Festival;Reading;UK;Rock/Indie;100000;16-12-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
P6116;Paris Jazz Festival;Paris;France;Jazz;60000;05-03-2024;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
B9598;Benicàssim Festival;Benicàssim;Spain;Pop/Indie;40000;04-01-2023;Festival musik yang diadakan dengan panggung spektakuler dan atmosfer meriah.,,,
E8538;Exit Festival;Novi Sad;Serbia;Electronic/Rock;200000;28-07-2023;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
P4306;Primavera Sound;Barcelona;Spain;Indie/Electronic;200000;21-01-2021;Festival musik indie dan alternatif menghadirkan musisi internasional dan lokal dengan latar pemandangan pantai yang indah,,,
L9742;Lollapalooza Berlin;Berlin;Germany;Alternative;100000;24-10-2023;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
P6249;Pukkelpop;Hasselt;Belgium;Various;200000;05-04-2022;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
A2686;Arenal Sound;Burriana;Spain;Pop/Rock;150000;10-05-2023;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
D8516;Dour Festival;Dour;Belgium;Rock/Electronic;200000;06-05-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
R4744;Rock Werchter;Werchter;Belgium;Rock;150000;12-09-2023;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
S7776;Sonar Festival;Barcelona;Spain;Electronic;100000;16-04-2023;Festival musik elektronik dan teknologi yang menggabungkan musik, seni visual, dan inovasi digital.,
W5677;Wacken Open Air;Wacken;Germany;Metal;75000;21-06-2021;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
T1809;T in the Park;Strathallan Castle;UK;Rock/Pop;80000;27-05-2022;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
M3458;Mysteryland;Haarlem;Netherlands;EDM;90000;05-12-2020;Festival EDM terkenal dengan dekorasi spektakuler dan penampilan DJ terkemuka.,,,
K3486;Kendal Calling;Kendal;UK;Indie/Alternative;40000;19-07-2021;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
L4396;Latitude Festival;Suffolk;UK;Various;45000;16-06-2022;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
N7498;Nass Festival;Shepton Mallet;UK;Various;30000;02-03-2022;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
G3714;Green Man Festival;Brecon Beacons;UK;Indie/Folk;25000;06-09-2021;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
S1492;Summer Breeze;Feucht;Germany;Metal/Hardcore;40000;27-05-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
P1524;Parklife Festival;Manchester;UK;Electronic/Indie;80000;23-11-2021;Festival musik indie dan alternatif menghadirkan musisi internasional dan lokal dengan latar pemandangan pantai yang indah,,,
E7170;Electric Daisy Carnival;London;UK;EDM;60000;04-08-2023;Festival EDM terkenal dengan dekorasi spektakuler dan penampilan DJ terkemuka.,,,
S4707;Splendour in the Grass;Bendigo;Australia;Indie/Electronic;40000;24-02-2020;Festival musik indie dan alternatif menghadirkan musisi internasional dan lokal dengan latar pemandangan pantai yang indah,,,
C5724;Creamfields;Cheshire;UK;EDM;70000;05-06-2023;Festival EDM terkenal dengan dekorasi spektakuler dan penampilan DJ terkemuka.,,,
M9475;Montreux Jazz Festival;Montreux;Switzerland;Jazz/Blues;20000;03-12-2022;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
N6030;Nyege Nyege Festival;Jinja;Uganda;Afrobeat/Electronic;20000;20-10-2023;Festival musik elektronik dan teknologi yang menggabungkan musik, seni visual, dan inovasi digital.,
B8269;Boogaloo Festival;Valencia;Spain;Indie/Electronic;35000;01-03-2023;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
S2792;Sundance Festival;Park City;USA;Various;47000;06-11-2021;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
M7238;Mad Cool Festival;Madrid;Spain;Rock/Alternative;80000;18-06-2024;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
H1208;Heineken Open'er;Gdynia;Poland;Various;60000;03-07-2024;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
G9075;Gurten Festival;Bern;Switzerland;Pop/Rock;30000;16-04-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
L4889;Lovebox Festival;London;UK;Electronic/Urban;45000;12-08-2024;Festival musik elektronik dan teknologi yang menggabungkan musik, seni visual, dan inovasi digital.,
E7260;Ejekt Festival;Athens;Greece;Rock/Electronic;30000;05-05-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
R2802;Ruisrock;Turku;Finland;Pop/Rock;35000;26-10-2021;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
M3432;Melt! Festival;Großpösna;Germany;Electronic/Indie;50000;14-07-2022;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
S4539;South West Four;London;UK;Electronic/Dance;30000;09-06-2024;Festival musik elektronik dan teknologi yang menggabungkan musik, seni visual, dan inovasi digital.,
B7611;Boomtown Fair;Winchester;UK;Various;60000;08-03-2024;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
C6684;Coachella Valley Music and Arts Festival;Indio;USA;Various;125000;01-09-2020;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
L4145;Lollapalooza Paris;Paris;France;Rock/Electronic;75000;23-02-2021;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
V4642;Valencia Music Festival;Valencia;Spain;Electronic/Rock;35000;05-08-2022;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
F3943;Festival Internacional de Jazz;Mexico City;Mexico;Jazz;40000;03-06-2024;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
B1646;Burning Man;Black Rock City;USA;Various;70000;31-05-2023;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
N1969;Newport Music Festival;Newport;USA;Classical;20000;04-05-2021;Merayakan komposisi musik klasik dengan orkestra, opera, dan pertunjukan kamar yang menampilkan karya-karya komponis ternama di tempat elegan dan bersejarah.,
F8826;Festival Internacional de Benicàssim;Benicàssim;Spain;Rock/Pop;50000;30-03-2024;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
M5832;Meltdown Festival;London;UK;Rock/Alternative;30000;28-10-2022;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
L9602;Leeds Festival;Leeds;UK;Rock/Alternative;80000;01-10-2022;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
M5662;Munich Music Festival;Munich;Germany;Electronic/Rock;35000;21-08-2022;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
B6171;Budapest Jazz Festival;Budapest;Hungary;Jazz;20000;16-06-2023;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
G3463;Gothenburg Film Festival;Gothenburg;Sweden;Various;20000;28-07-2020;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
F8548;Fusion Festival;Garz;Germany;Electronic/Alternative;25000;09-11-2023;Festival musik elektronik dan teknologi yang menggabungkan musik, seni visual, dan inovasi digital.,
E6822;Electric Castle Festival;Cluj-Napoca;Romania;Electronic/Rock;50000;27-12-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
T5047;The Great Escape;Brighton;UK;Indie;20000;30-10-2022;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
F7164;Festival Internacional de Jazz;Montreal;Canada;Jazz;30000;23-02-2024;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
G6413;Gothenburg International Music Festival;Gothenburg;Sweden;Various;25000;05-01-2021;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
I8761;Isle of Wight Festival;Isle of Wight;UK;Rock/Pop;60000;30-08-2022;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
T4224;Tivoli Music Festival;Florence;Italy;Classical/Jazz;25000;06-10-2020;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
P7721;Pride Festival;Amsterdam;Netherlands;Pop;60000;20-06-2021;Festival musik yang diadakan dengan panggung spektakuler dan atmosfer meriah.,,,
A2637;Art Basel Music Festival;Miami;USA;Various;40000;18-10-2023;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
T2941;Thunderbolt Festival;Oslo;Norway;Rock/Indie;35000;30-01-2021;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
S3134;Sea Dance Festival;Budva;Montenegro;EDM/Techno;50000;25-04-2024;Festival EDM terkenal dengan dekorasi spektakuler dan penampilan DJ terkemuka.,,,
T3019;Tenerife Music Festival;San Cristóbal de La Laguna;Spain;Pop/Indie;30000;27-09-2021;Festival musik yang diadakan dengan panggung spektakuler dan atmosfer meriah.,,,
D1668;Desertfest Berlin;Berlin;Germany;Stoner Rock/Metal;40000;07-04-2021;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
M6470;Maui Arts & Cultural Center Festival;Kahului;USA;Various;25000;20-07-2024;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
V7936;Vive Latino Festival;Mexico City;Mexico;Rock/Latin;50000;29-05-2021;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
D1714;Darker Days Festival;Brussels;Belgium;Dark/Electronic;30000;16-04-2023;Festival musik elektronik dan teknologi yang menggabungkan musik, seni visual, dan inovasi digital.,
S5884;Summer Sonic Festival;Tokyo;Japan;Rock/Electronic;60000;26-05-2023;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
F7165;Festival de Música de La Rioja;Logroño;Spain;Classical/Jazz;25000;30-04-2021;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
H9738;Hove Festival;Hove;UK;Indie/Rock;35000;20-11-2022;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
C2554;Celtic Connections;Glasgow;UK;Folk/Celtic;40000;23-11-2024;Menghidupkan tradisi budaya dengan musik akustik, lagu rakyat, dan tarian yang mencerminkan warisan lokal dan komunitas, sering kali diadakan di lokasi alam terbuka yang santai.
L2772;Lollapalooza Chile;Santiago;Chile;Rock/Electronic;50000;19-09-2021;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
B2494;Bergen International Festival;Bergen;Norway;Classical/Folk;30000;19-02-2021;Merayakan komposisi musik klasik dengan orkestra, opera, dan pertunjukan kamar yang menampilkan karya-karya komponis ternama di tempat elegan dan bersejarah.,
B8919;Budapest Festival Orchestra;Budapest;Hungary;Classical;20000;19-03-2023;Merayakan komposisi musik klasik dengan orkestra, opera, dan pertunjukan kamar yang menampilkan karya-karya komponis ternama di tempat elegan dan bersejarah.,
E9933;Electric Picnic;Stradbally;Ireland;Indie/Electronic;50000;13-11-2024;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
B9986;Blue Balls Festival;Lucerne;Switzerland;Jazz/Blues;35000;11-03-2022;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
L3352;Lollapalooza Buenos Aires;Buenos Aires;Argentina;Rock/Electronic;60000;17-10-2021;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
V2683;Valencia Music Festival;Valencia;Spain;Electronic/Rock;35000;05-04-2023;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
F7567;Festival Internacional de Jazz;Mexico City;Mexico;Jazz;40000;02-06-2021;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
W3858;Wacken Open Air;Wacken;Germany;Metal;75000;13-10-2024;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
S2373;Sziget Festival;Budapest;Hungary;Various;500000;07-10-2020;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
B5377;Burning Man;Black Rock City;USA;Various;70000;06-03-2020;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
N8501;Newport Music Festival;Newport;USA;Classical;20000;17-12-2021;Merayakan komposisi musik klasik dengan orkestra, opera, dan pertunjukan kamar yang menampilkan karya-karya komponis ternama di tempat elegan dan bersejarah.,
F3278;Festival Internacional de Benicàssim;Benicàssim;Spain;Rock/Pop;50000;14-03-2024;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
M4569;Meltdown Festival;London;UK;Rock/Alternative;30000;14-10-2023;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
L6176;Leeds Festival;Leeds;UK;Rock/Alternative;80000;22-03-2022;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
M5989;Munich Music Festival;Munich;Germany;Electronic/Rock;35000;05-11-2023;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
B1640;Budapest Jazz Festival;Budapest;Hungary;Jazz;20000;03-05-2024;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
G8757;Gothenburg Film Festival;Gothenburg;Sweden;Various;20000;09-12-2023;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
F7906;Fusion Festival;Garz;Germany;Electronic/Alternative;25000;18-09-2024;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
E4620;Electric Castle Festival;Cluj-Napoca;Romania;Electronic/Rock;50000;30-06-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
T6324;The Great Escape;Brighton;UK;Indie;20000;22-10-2021;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
F6300;Festival Internacional de Jazz;Montreal;Canada;Jazz;30000;13-04-2023;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
G4008;Gothenburg International Music Festival;Gothenburg;Sweden;Various;25000;11-04-2023;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
I9899;Isle of Wight Festival;Isle of Wight;UK;Rock/Pop;60000;17-04-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
T1665;Tivoli Music Festival;Florence;Italy;Classical/Jazz;25000;30-09-2024;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
P4728;Pride Festival;Amsterdam;Netherlands;Pop;60000;12-05-2022;Festival musik yang diadakan dengan panggung spektakuler dan atmosfer meriah.,,,
A4683;Art Basel Music Festival;Miami;USA;Various;40000;15-12-2023;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
T7989;Thunderbolt Festival;Oslo;Norway;Rock/Indie;35000;15-09-2021;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
S8462;Sea Dance Festival;Budva;Montenegro;EDM/Techno;50000;07-03-2024;Festival EDM terkenal dengan dekorasi spektakuler dan penampilan DJ terkemuka.,,,
T7314;Tenerife Music Festival;San Cristóbal de La Laguna;Spain;Pop/Indie;30000;14-10-2024;Festival musik yang diadakan dengan panggung spektakuler dan atmosfer meriah.,,,
D7583;Desertfest Berlin;Berlin;Germany;Stoner Rock/Metal;40000;22-01-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
M3869;Maui Arts & Cultural Center Festival;Kahului;USA;Various;25000;29-09-2024;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
V9492;Vive Latino Festival;Mexico City;Mexico;Rock/Latin;50000;10-11-2024;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
D8848;Darker Days Festival;Brussels;Belgium;Dark/Electronic;30000;27-03-2024;Festival musik elektronik dan teknologi yang menggabungkan musik, seni visual, dan inovasi digital.,
S9940;Summer Sonic Festival;Tokyo;Japan;Rock/Electronic;60000;16-01-2022;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
F8862;Festival de Música de La Rioja;Logroño;Spain;Classical/Jazz;25000;10-11-2021;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
H5497;Hove Festival;Hove;UK;Indie/Rock;35000;05-08-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
C6827;Celtic Connections;Glasgow;UK;Folk/Celtic;40000;17-03-2024;Menghidupkan tradisi budaya dengan musik akustik, lagu rakyat, dan tarian yang mencerminkan warisan lokal dan komunitas, sering kali diadakan di lokasi alam terbuka yang santai.
L1740;Lollapalooza Chile;Santiago;Chile;Rock/Electronic;50000;18-11-2024;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
B4928;Bergen International Festival;Bergen;Norway;Classical/Folk;30000;12-06-2023;Merayakan komposisi musik klasik dengan orkestra, opera, dan pertunjukan kamar yang menampilkan karya-karya komponis ternama di tempat elegan dan bersejarah.,
B7409;Budapest Festival Orchestra;Budapest;Hungary;Classical;20000;12-07-2020;Merayakan komposisi musik klasik dengan orkestra, opera, dan pertunjukan kamar yang menampilkan karya-karya komponis ternama di tempat elegan dan bersejarah.,
E7707;Electric Picnic;Stradbally;Ireland;Indie/Electronic;50000;15-06-2020;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
B4188;Blue Balls Festival;Lucerne;Switzerland;Jazz/Blues;35000;02-07-2021;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
L7548;Lollapalooza Buenos Aires;Buenos Aires;Argentina;Rock/Electronic;60000;26-07-2021;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
V7257;Valencia Music Festival;Valencia;Spain;Electronic/Rock;35000;10-11-2022;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
F1477;Festival Internacional de Jazz;Mexico City;Mexico;Jazz;40000;07-05-2021;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
W3025;Wacken Open Air;Wacken;Germany;Metal;75000;22-08-2021;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
S4224;Sziget Festival;Budapest;Hungary;Various;500000;31-07-2023;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
B4658;Burning Man;Black Rock City;USA;Various;70000;25-04-2021;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
N9275;Newport Music Festival;Newport;USA;Classical;20000;15-06-2022;Merayakan komposisi musik klasik dengan orkestra, opera, dan pertunjukan kamar yang menampilkan karya-karya komponis ternama di tempat elegan dan bersejarah.,
F6888;Festival Internacional de Benicàssim;Benicàssim;Spain;Rock/Pop;50000;04-11-2023;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
M8602;Meltdown Festival;London;UK;Rock/Alternative;30000;10-10-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
L4985;Leeds Festival;Leeds;UK;Rock/Alternative;80000;10-10-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
M1786;Munich Music Festival;Munich;Germany;Electronic/Rock;35000;09-09-2024;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
B2481;Budapest Jazz Festival;Budapest;Hungary;Jazz;20000;15-10-2024;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
G7073;Gothenburg Film Festival;Gothenburg;Sweden;Various;20000;23-12-2020;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
F4565;Fusion Festival;Garz;Germany;Electronic/Alternative;25000;30-10-2024;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
E1079;Electric Castle Festival;Cluj-Napoca;Romania;Electronic/Rock;50000;15-03-2023;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
T6014;The Great Escape;Brighton;UK;Indie;20000;14-09-2023;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
F8626;Festival Internacional de Jazz;Montreal;Canada;Jazz;30000;06-05-2020;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
G1097;Gothenburg International Music Festival;Gothenburg;Sweden;Various;25000;05-02-2021;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
I2324;Isle of Wight Festival;Isle of Wight;UK;Rock/Pop;60000;13-11-2024;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
T7322;Tivoli Music Festival;Florence;Italy;Classical/Jazz;25000;21-02-2022;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
P2979;Pride Festival;Amsterdam;Netherlands;Pop;60000;27-11-2021;Festival musik yang diadakan dengan panggung spektakuler dan atmosfer meriah.,,,
A9079;Art Basel Music Festival;Miami;USA;Various;40000;25-10-2022;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
T6798;Thunderbolt Festival;Oslo;Norway;Rock/Indie;35000;19-11-2024;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
S7852;Sea Dance Festival;Budva;Montenegro;EDM/Techno;50000;19-02-2024;Festival EDM terkenal dengan dekorasi spektakuler dan penampilan DJ terkemuka.,,,
T1620;Tenerife Music Festival;San Cristóbal de La Laguna;Spain;Pop/Indie;30000;14-11-2023;Festival musik yang diadakan dengan panggung spektakuler dan atmosfer meriah.,,,
D7842;Desertfest Berlin;Berlin;Germany;Stoner Rock/Metal;40000;05-04-2020;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
M1972;Maui Arts & Cultural Center Festival;Kahului;USA;Various;25000;17-09-2020;Salah satu festival musik dan seni terbesar di dunia. Festival ini menampilkan berbagai genre musik dan pertunjukan seni.,,,
V4600;Vive Latino Festival;Mexico City;Mexico;Rock/Latin;50000;27-01-2021;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
D2580;Darker Days Festival;Brussels;Belgium;Dark/Electronic;30000;19-02-2020;Festival musik elektronik dan teknologi yang menggabungkan musik, seni visual, dan inovasi digital.,
S4033;Summer Sonic Festival;Tokyo;Japan;Rock/Electronic;60000;08-04-2021;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
F2312;Festival de Música de La Rioja;Logroño;Spain;Classical/Jazz;25000;24-05-2023;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
H5861;Hove Festival;Hove;UK;Indie/Rock;35000;30-12-2024;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
C3891;Celtic Connections;Glasgow;UK;Folk/Celtic;40000;17-10-2021;Menghidupkan tradisi budaya dengan musik akustik, lagu rakyat, dan tarian yang mencerminkan warisan lokal dan komunitas, sering kali diadakan di lokasi alam terbuka yang santai.
L4206;Lollapalooza Chile;Santiago;Chile;Rock/Electronic;50000;14-06-2021;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
B8559;Bergen International Festival;Bergen;Norway;Classical/Folk;30000;14-11-2021;Merayakan komposisi musik klasik dengan orkestra, opera, dan pertunjukan kamar yang menampilkan karya-karya komponis ternama di tempat elegan dan bersejarah.,
B1333;Budapest Festival Orchestra;Budapest;Hungary;Classical;20000;10-08-2022;Merayakan komposisi musik klasik dengan orkestra, opera, dan pertunjukan kamar yang menampilkan karya-karya komponis ternama di tempat elegan dan bersejarah.,
E5060;Electric Picnic;Stradbally;Ireland;Indie/Electronic;50000;29-12-2020;Festival musik dan seni yang menggabungkan berbagai genre musik dan inisiatif sosial.,,,
B7630;Blue Balls Festival;Lucerne;Switzerland;Jazz/Blues;35000;29-09-2021;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
L1648;Lollapalooza Buenos Aires;Buenos Aires;Argentina;Rock/Electronic;60000;09-04-2023;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
V7144;Valencia Music Festival;Valencia;Spain;Electronic/Rock;35000;21-05-2022;Festival rock terbesar Menampilkan band-band rock dan metal ternama.,,,
F1813;Festival Internacional de Jazz;Mexico City;Mexico;Jazz;40000;13-04-2023;Festival jazz tahunan yang diadakan untuk merayakan berbagai gaya musik jazz dengan penampilan musisi internasional.,,,
